"","x"
"267","1650627632428380161"
"268","1650624343037165568"
"269","1650622053911871488"
"270","1650619132159709184"
"271","1650617274544402434"
"272","1650612733551706112"
"273","1650608664812695552"
"274","1650604816911966260"
"275","1650604432474644486"
"276","1650602120943378462"
"277","1650600616148738065"
"278","1650599279675711508"
"279","1650593390965190656"
"280","1650589847776534534"
"281","1650589630062796804"
"282","1650583959493902337"
"283","1650583349180653569"
"284","1650459824658735104"
"285","1650576499974479872"
"286","1650389335626207232"
"287","1650569994994868243"
"288","1650569550469947393"
"289","1650567371604766720"
"290","1650565589096624128"
"291","1650565011612262408"
"292","1650564558384144384"
"293","1650562097330155521"
"294","1650560282224205824"
"295","1650559628088844290"
"296","1650559521436098562"
"297","1650555853953544202"
"298","1650552736964915217"
"299","1650552209367609356"
"300","1650550691964895232"
"301","1650550472661512205"
"302","1650549530998321152"
"303","1650394443856445441"
"304","1650549159185854484"
"305","1650485046946529282"
"306","1650543469616660481"
"307","1650542421803950082"
"308","1650542381379334153"
"309","1650542276215545856"
"310","1650542043121299472"
"311","1650541290528833536"
"312","1650540818199879680"
"313","1650538335310434305"
"314","1650537233953304576"
"315","1650536670293377025"
"316","1650535097538314244"
"317","1650532794223804419"
"318","1650532523888222208"
"319","1650529391993147393"
"320","1650524409478692865"
"321","1650523001970991106"
"322","1650521448065167360"
"323","1650521179772313602"
"324","1650516030999887878"
"325","1650515019392593920"
"326","1650513976982224899"
"327","1650511579945787397"
"328","1650511203804774402"
"329","1650510160048144391"
"330","1650510155111362562"
"331","1650506422709305352"
"332","1648897638387810306"
"333","1650504322059317252"
"334","1650503569768890368"
"335","1650500481217622018"
"336","1650499990366683137"
"337","1650497602771734530"
"338","1650495651577311240"
"339","1650495568911761409"
"340","1650494547082846210"
"341","1650494035637817346"
"342","1650492932615438340"
"343","1650492050771410945"
"344","1650491234064924674"
"345","1650488595201896449"
"346","1650487882765815810"
"347","1650487616414920704"
"348","1650487073407746051"
"349","1650485516205191173"
"350","1650485215884722179"
"351","1650485171458547719"
"352","1650485046946529282"
"353","1650483593150447617"
"354","1650481077868281856"
"355","1650480581090635777"
"356","1650474068250963969"
"357","1650472923885453314"
"358","1650472362993655810"
"359","1650450178409635840"
"360","1650438598246711297"
"361","1650434820047085568"
"362","1650238450795175936"
"363","1650414237397688326"
"364","1650411755661668352"
"365","1650389335626207232"
"366","1650404864772526082"
"367","1650381272911314945"
"368","1650398209489920003"
"369","1650395030559883265"
"370","1650394912884416513"
"371","1650394143947104257"
"372","1650387862754295809"
"373","1650382110878756865"
"374","1650381366431809536"
"375","1650381272911314945"
"376","1650379856352247808"
"377","1650378812998205440"
"378","1650321304896110595"
"379","1650254689244438530"
"380","1650239614689394689"
"381","1650183103585894401"
"382","1650176219982249986"
"383","1650157843704606722"
"384","1649763689187225600"
"385","1650082950971547649"
"386","1650080160555626496"
"387","1650074976974774272"
"388","1650047169653506049"
"389","1650046606278901760"
"390","1650011459462615041"
"391","1650005327813701635"
"392","1649996578243985409"
"393","1649996402695569409"
"394","1649898918199607312"
"395","1649754235209129986"
"396","1649885503016108034"
"397","1649872345270501382"
"398","1649835928922337283"
"399","1649828469541404674"
"400","1649748635536465920"
"401","1649821920328556546"
"402","1649463864612847640"
"403","1649794922462031872"
"404","1649764722005114882"
"405","1649426026772955136"
"406","1649389443621462017"
"407","1649641469764829184"
"408","1649648037516517377"
"409","1649585210718076930"
"410","1649585063728693249"
"411","1649565793045102592"
"412","1649531571408347138"
"413","1649527874162925572"
"414","1649519422015430656"
"415","1649519422015430656"
"416","1649496485170499593"
"417","1649489016796991490"
"418","1649488491061956623"
"419","1649450175734185985"
"420","1648687149670187011"
"421","1649432789589061634"
"422","1649431133073858563"
"423","1649311906799181825"
"424","1649347077502107649"
"425","1649428643590942720"
"426","1649397882884349952"
"427","1649426589128466432"
"428","1649426467648937986"
"429","1649424959175811072"
"430","1649424937206140929"
"431","1649422481206157314"
"432","1649420812359696389"
"433","1649387526954598400"
"434","1649415084697956352"
"435","1649412387739426942"
"436","1649400929190289410"
"437","1649399657447972865"
"438","1649397767654064129"
"439","1649393742158217217"
"440","1649392856279203841"
"441","1649388742275129346"
"442","1649383936735301635"
"443","1649379495588114432"
"444","1649332916193828865"
"445","1649373328946212867"
"446","1649372828767080448"
"447","1649372466379120640"
"448","1649348418039435264"
"449","1649370581635149827"
"450","1649365649276166144"
